127.0.0.1 - - [24/Apr/2018:17:20:07 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [24/Apr/2018:17:20:10 +0900] "GET /eStore/ HTTP/1.1" 200 7760
0:0:0:0:0:0:0:1 - - [24/Apr/2018:17:20:11 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [24/Apr/2018:17:20:11 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/Apr/2018:17:20:11 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [24/Apr/2018:17:20:11 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:34 +0900] "GET /eStore/login HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:34 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:34 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:34 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:34 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:39 +0900] "GET /eStore/ HTTP/1.1" 200 7760
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:39 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:39 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:39 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:39 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:43 +0900] "GET /eStore/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:43 +0900] "GET /eStore/login HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:43 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:43 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:43 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/Apr/2018:18:42:43 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
